ID,Fase,No_Layar,Requirement,Repo,Status,Backend_Java,Flutter_Windows,Flutter_Android,Offline,RBAC,Print_Export,Automated_Test,UAT,Evidence,Commit,Blocker
FND-001,P0,,Audit dua repo dan manifest input,Keduanya,NOT_STARTED,,,,,,,,,,,
FND-002,P1,,AppProductProfile dan entrypoint inventory_sales,zishof-platform,NOT_STARTED,,,,,,,,,,,
FND-003,P1,,Android flavor inventorySales + signing,zishof-platform,NOT_STARTED,,,,,,,,,,,
FND-004,P1,,Windows variant + installer unik,zishof-platform,NOT_STARTED,,,,,,,,,,,
FND-005,P1,,ApiEBisnis extension hook,AIS,NOT_STARTED,,,,,,,,,,,
FND-006,P1,,EbisnisActorContextResolver fail-closed,AIS,NOT_STARTED,,,,,,,,,,,
FND-007,P1,,Seed role Pemilik Sales/Inventory dan Sales Keliling,AIS,NOT_STARTED,,,,,,,,,,,
FND-008,P1,,Menu/permission registry lintas server-Flutter,Keduanya,NOT_STARTED,,,,,,,,,,,
FND-009,P7,,Implementasi core_sync typed outbox,zishof-platform,NOT_STARTED,,,,,,,,,,,
FND-010,P7,,Upgrade CoreDb schema Nota Sales,zishof-platform,NOT_STARTED,,,,,,,,,,,
SCR-01,P2,1,Data Supplier -> Master Supplier,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-01/,,
SCR-02,P2,2,Membuka Daftar Supplier -> Daftar Supplier,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-02/,,
SCR-03,P2,3,Menutup Daftar Supplier -> Detail Supplier,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-03/,,
SCR-04,P2,4,Data Customer -> Master Customer,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-04/,,
SCR-05,P2,5,Membuka Daftar Customer -> Daftar Customer,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-05/,,
SCR-06,P2,6,Menutup Daftar Customer -> Detail Customer,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-06/,,
SCR-07,P2,7,Data Sales atau Penjual Keliling -> Master Sales,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-07/,,
SCR-08,P2,8,Data Stok Barang -> Persediaan & Kartu Stok,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-08/,,
SCR-09,P2,9,Laporan Opname -> Stok Opname,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-09/,,
SCR-10,P2,10,Mencetak Laporan Opname -> Cetak Opname,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-10/,,
SCR-11,P2,11,Harga Beli dan Harga Jual -> Analisis Harga,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-11/,,
SCR-12,P2,12,Memilih dan Menjalankan Cetak Harga Beli/Jual -> Parameter Laporan Harga,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-12/,,
SCR-13,P2,13,Mencetak Harga Jual -> Daftar Harga Jual,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-13/,,
SCR-14,P2,14,Mengekspor Data Harga/Stok ke Excel -> Ekspor Harga & Stok,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-14/,,
SCR-15,P2,15,Mencetak Daftar Stok -> Laporan Persediaan,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-15/,,
SCR-16,P2,16,Hasil Cetak Stok -> Preview Laporan Persediaan,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-16/,,
SCR-17,P2,17,Menu Master Harga -> Master Harga,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-17/,,
SCR-18,P2,18,Master Harga Beli per Supplier -> Harga Beli Supplier,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-18/,,
SCR-19,P2,19,Master Harga Jual per Customer -> Harga Jual Customer,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-19/,,
SCR-20,P3,20,Proses Pembelian Barang dari Supplier -> Kulakan / Pembelian Supplier,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-20/,,
SCR-21,P3,21,Tombol Hutang pada Pembelian -> Deep-link Hutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-21/,,
SCR-22,P3,22,Data Hutang Supplier -> Ledger Hutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-22/,,
SCR-23,P3,23,Menampilkan Hutang yang Sudah Lunas -> Filter Hutang Lunas,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-23/,,
SCR-24,P3,24,Pembayaran Hutang -> Pembayaran Supplier,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-24/,,
SCR-25,P3,25,Melihat Pembayaran Hutang -> Riwayat Pembayaran Hutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-25/,,
SCR-26,P3,26,Mencetak Pembayaran Hutang -> Voucher Pembayaran Hutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-26/,,
SCR-27,P3,27,Analisis Hutang -> Aging Hutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-27/,,
SCR-28,P3,28,Mencetak Faktur Pembelian Barang -> Cetak Faktur Pembelian,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-28/,,
SCR-29,P3,29,Mencetak Laporan Pembelian per Periode -> Laporan Pembelian,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-29/,,
SCR-30,P4,30,Menu Penjualan -> Penjualan Sales / Sales Order,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-30/,,
SCR-31,P4,31,Membuka Piutang dari Menu Penjualan -> Deep-link Piutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-31/,,
SCR-32,P4,32,Data Piutang Customer -> Ledger Piutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-32/,,
SCR-33,P4,33,Menampilkan Piutang yang Sudah Lunas -> Filter Piutang Lunas,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-33/,,
SCR-34,P4,34,Pembayaran Piutang -> Penerimaan Piutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-34/,,
SCR-35,P4,35,Melihat Pembayaran Piutang -> Riwayat Penerimaan,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-35/,,
SCR-36,P4,36,Mencetak Pembayaran Piutang -> Kwitansi Penerimaan,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-36/,,
SCR-37,P4,37,Analisis Piutang per Customer -> Aging Customer,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-37/,,
SCR-38,P4,38,Analisis Piutang per Sales -> Aging per Sales,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-38/,,
SCR-39,P5,39,Sales Membawa Nota -> Surat Perintah Sales Jalan,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-39/,,
SCR-40,P5,40,Nota Sales -> Sesi Nota Sales,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-40/,,
SCR-41,P5,41,Laporan Piutang -> Laporan Sesi & Piutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-41/,,
SCR-42,P5,42,Mencetak Laporan Piutang -> Cetak Laporan Sesi/Piutang,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-42/,,
SCR-43,P6,43,Kas dan Jurnal -> Kas/Bank/Jurnal,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-43/,,
SCR-44,P6,44,Membuat Perkiraan Baru -> Master Akun,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-44/,,
SCR-45,P6,45,Menu Laba/Rugi -> Parameter Laba/Rugi,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-45/,,
SCR-46,P6,46,Mencetak Laba Rugi Kotor -> Laba Kotor,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-46/,,
SCR-47,P6,47,Laporan Laba/Rugi -> Laporan Laba/Rugi,Keduanya,NOT_STARTED,,,,,,,,,docs/pos-inventory-sales/evidence/screen-47/,,
