domain,menu_canonical,menu_alias,action_route,operation,owner_code,current_table_or_model,role_source,status
Pengadaan,pengadaan_pr,permintaan_pembelian,pengadaan_pr_daftar,read,PengadaanPosApiHelper,PermintaanPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_pr,purchase_requisition,pengadaan_pr_detail,read,PengadaanPosApiHelper,PermintaanPengadaanMasterAssetDetail,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_pr,pr,pengadaan_pr_simpan,create-update,PengadaanPosApiHelper,PermintaanPengadaanMasterAsset dan detail,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_pr,pr,pengadaan_pr_putusan,approve-reject,PengadaanPosApiHelper,PermintaanPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_pr,pr,pengadaan_pr_hapus,delete,PengadaanPosApiHelper,PermintaanPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,purchase_order,pengadaan_po_daftar,read,PengadaanPosApiHelper,PemesananPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,po,pengadaan_po_simpan,create-update,PengadaanPosApiHelper,PemesananPengadaanMasterAsset dan detail,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,po,pengadaan_po_putusan,approve-reject,PengadaanPosApiHelper,PemesananPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,po,pengadaan_po_hapus,delete,PengadaanPosApiHelper,PemesananPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,po,pengadaan_po_dari_pr,create-from-pr,PengadaanPosApiHelper,PR dan PO existing,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,po,pengadaan_po_kekurangan,read-shortage,PengadaanPosApiHelper,PR dan PO existing,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_po,po,pengadaan_po_back_order,update-backorder,PengadaanPosApiHelper,PO existing,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_bast,vendor_bast,pengadaan_bast_daftar,read,PengadaanPosApiHelper,PenerimaanPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_bast,goods_receipt,pengadaan_bast_simpan,create-update,PengadaanPosApiHelper,PenerimaanPengadaanMasterAsset dan detail,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_bast,bast,pengadaan_bast_putusan,approve-reject,PengadaanPosApiHelper,PenerimaanPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_bast,bast,pengadaan_bast_hapus,delete,PengadaanPosApiHelper,PenerimaanPengadaanMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_bast,bast,pengadaan_bast_dari_po,create-from-po,PengadaanPosApiHelper,PO dan BAST existing,TbmroleAction/Tbmrole.ebisnisMenu,existing
Pengadaan,pengadaan_bast,bast,pengadaan_bast_sinkron_kulakan,sync,PengadaanPosApiHelper,BAST dan PengadaanProduk,TbmroleAction/Tbmrole.ebisnisMenu,existing-adapter
Keuangan,pengadaan_tagihan,vendor_invoice,pengadaan_tagihan_daftar,read,PengadaanPosApiHelper,SaldoAwalMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,legacy-to-retire-write
Keuangan,pengadaan_tagihan,terima_tagihan_vendor,pengadaan_tagihan_terima,create,PengadaanPosApiHelper,SaldoAwalMasterAsset dan detail,TbmroleAction/Tbmrole.ebisnisMenu,legacy-to-retire-write
Keuangan,pengadaan_tagihan,tagihan_vendor,pengadaan_tagihan_rutin_simpan,create-update,PengadaanPosApiHelper,SaldoAwalMasterAsset dan detail,TbmroleAction/Tbmrole.ebisnisMenu,legacy-to-retire-write
Keuangan,pengadaan_tagihan,tagihan_vendor,pengadaan_tagihan_batal,cancel,PengadaanPosApiHelper,SaldoAwalMasterAsset,TbmroleAction/Tbmrole.ebisnisMenu,legacy-to-retire-write
Keuangan,pengadaan_dpc,pembayaran_vendor,pengadaan_dpc,workflow-payment,existing accounting actions,ProsesTransfer dan DaftarPengajuanTransfer,TbmroleAction/Tbmrole.ebisnisMenu,existing-extension-needed
Operasional,kulakan,pembelian_stok_langsung,kulakan,create-update,PosApi/KantinHelper,PengadaanFaktur dan PengadaanProduk,TbmroleAction/Tbmrole.ebisnisMenu,existing-adapter
Inventory,mutasiantaroutlet,transfer_stok_outlet,mutasi antar outlet,create-update,PosApi/KantinHelper,MutasiStokToko,TbmroleAction/Tbmrole.ebisnisMenu,existing-adapter
Inventory,stokopname,stock_opname,stok opname,create-update,PosApi/KantinHelper,StokOpname,TbmroleAction/Tbmrole.ebisnisMenu,existing-adapter
Penjualan,returpenjualan,sales_return,retur penjualan,create-update,PosApi/KantinHelper,ReturPenjualan,TbmroleAction/Tbmrole.ebisnisMenu,existing-adapter
Laporan,laporantransaksi,transaction_report,laporan transaksi,read-export,PosApi,read model transaksi,TbmroleAction/Tbmrole.ebisnisMenu,existing
Laporan,laporankeuangan,financial_report,laporan keuangan,read-export,PosApi/accounting helpers,Jurnal Akuntansi,TbmroleAction/Tbmrole.ebisnisMenu,existing

