id,kode
1,......
2,00
3,0000
4,0001
5,0002
6,0011299711027
7,007916248847
8,007916248854
9,011747233026
10,011747233033
11,011747233842
12,011747233965
13,022859472999
14,0416037695681
15,0501177895531
16,0501237895495
17,0601209
18,089686010015
19,089686010046
20,089686010527
21,089686010718
22,089686010947
23,089686011036
24,089686014280
25,089686014884
26,089686014914
27,089686014945
28,089686017724
29,089686017748
30,089686017755
31,089686017809
32,089686017816
33,08968601785
34,089686018011
35,089686018042
36,089686018059
37,089686018080
38,089686021219
39,089686023152
40,089686023787
41,089686043273
42,089686043297
43,089686043334
44,089686043358
45,089686043686
46,089686043983
47,089686043990
48,089686044072
49,089686048001
50,089686048704
51,089686059717
52,089686059748
53,089686059779
54,089686060027
55,089686060065
56,089686060126
57,089686060164
58,089686060362
59,089686060522
60,089686060539
61,089686060744
62,089686060775
63,089686061024
64,089686061079
65,089686061123
66,089686400427
67,089686400526
68,089686400816
69,089686401721
70,089686401851
71,089686420036
72,089686423242
73,089686535044
74,089686535143
75,089686535242
76,089686590036
77,089686596427
78,089686596441
79,089686596465
80,089686596502
81,089686598018
82,089686598025
83,089686598056
84,089686598414
85,089686598421
86,089686598766
87,089686598933
88,089686599077
89,089686600223
90,089686600513
91,089686600544
92,089686600810
93,089686600841
94,089686604443
95,089686604450
96,089686611519
97,089686611540
98,089686611601
99,089686611618
100,089686611649
101,089686611670
102,089686611700
103,089686611779
104,089686611908
105,089686680058
106,089686680089
107,089686681017
108,089686681055
109,089686681093
110,089686681154
111,089686681185
112,089686681253
113,089686681284
114,089686681659
115,089686681666
116,089686681697
117,089686681703
118,089686681819
119,089686681826
120,089686681833
121,089686683011
122,089686683042
123,089686683516
124,089686683547
125,0896866870266
126,089686687033
127,089686691078
128,089686820072
129,089686820171
130,089686820607
131,089686820652
132,089686821055
133,089686821086
134,089686826012
135,089686827019
136,089686827040
137,089686827071
138,089686827149
139,089686834055
140,089686834307
141,089686850048
142,089686910384
143,089686910704
144,089686915709
145,092399558828
146,100
147,100001
148,100002
149,100003
150,100004
151,101
152,102
153,1027
154,103
155,104
156,105
157,106
158,106089
159,107142868755
160,108
161,109
162,110
163,11000
164,111
165,111111
166,11209058
167,1123132
168,114
169,115
170,116
171,117
172,118
173,1196
174,12
175,120
176,12000
177,120080074958
178,121212
179,1212313
180,122424
181,123
182,12345
183,1234567
184,1235
185,124
186,125
187,1254368
188,13
189,130
190,1313464313166
191,14
192,1421
193,143
194,144
195,145
196,1455
197,146
198,148
199,15
200,150
201,151
202,1515151
203,1563064961438
204,158
205,159
206,16
207,167923434760
208,171
209,172
210,173
211,179
212,18
213,182
214,183
215,186
216,187
217,187084
218,188
219,189
220,189132314626
221,190
222,191
223,192
224,193
225,194
226,196
227,197
228,198354679567
229,2
230,20
231,200
232,201
233,202
234,204
235,206
236,2076
237,2108
238,2109
239,211
240,2123
241,2141
242,2143
243,215331301181
244,219726
245,22
246,221720
247,222222
248,22300312
249,2257
250,2281
251,23
252,2313
253,234
254,2343
255,236
256,2362
257,2363
